Ticker;Companies;GisSector;GicsClassification;FichierSTCKP;CompanyGR2014;CompanyGR2015;CompanyGR2016
ATVI;36;Information Technology;7;ATVI_quarterly_financial_data.xls;activision blizzard;activision blizzard inc;activision blizzard inc
AVB;37;Financials;4;AVB_quarterly_financial_data.xls;avalonbay communities;avalonbay communities inc;avalonbay communities inc
AWK;38;Utilities;11;AWK_quarterly_financial_data.xls;american water works;american water works company inc;american water works co inc
AXP;39;Financials;4;AXP_quarterly_financial_data.xls;american express;american express company;american express co
AZO;40;Consumer Discretionary;1;AZO_quarterly_financial_data.xls;autozone;autozone inc;autozone inc
BA;41;Industrials;6;BA_quarterly_financial_data.xls;boeing;the boeing company;boeing co
BAC;42;Financials;4;BAC_quarterly_financial_data.xls;bank of america;bank of america corporation;bank of america corp
BAX;43;Health Care;5;BAX_quarterly_financial_data.xls;baxter international;baxter international inc;baxter international inc
BBBY;44;Consumer Discretionary;1;BBBY_quarterly_financial_data.xls;bed bath & beyond;bed bath & beyond inc;bed bath & beyond inc
BBT;45;Financials;4;BBT_quarterly_financial_data.xls;bb&t;bb&t corporation;bb&t corp
BBY;46;Consumer Discretionary;1;BBY_quarterly_financial_data.xls;best buy;best buy co inc;best buy co inc
BCR;47;Health Care;5;BCR_quarterly_financial_data.xls;cr bard;cr bard inc;cr bard inc
BDX;48;Health Care;5;BDX_quarterly_financial_data.xls;becton dickinson;becton dickinson and company;becton dickinson and co
BEN;49;Financials;4;BEN_quarterly_financial_data.xls;franklin resources;franklin resources inc;franklin resources inc
BF.A;50;Consumer Staples;2;BF.B_quarterly_financial_data.xls;brown-forman;brown-forman corporation;brown-forman corp
BG;51;Consumer Staples;2;NA;bunge;bunge limited;bunge ltd
BHI;52;Energy;3;BHI_quarterly_financial_data.xls;baker hughes;baker hughes incorporated;baker hughes inc
BIIB;53;Health Care;5;BIIB_quarterly_financial_data.xls;biogen idec;biogen inc;biogen inc
BK;54;Financials;4;BK_quarterly_financial_data.xls;bank of new york mellon;the bank of new york mellon corporation;bank of new york mellon corp
BKE;55;Energy;3;BKE_quarterly_financial_data.xls;buckeye partners;buckeye partners lp;buckeye partners lp
BLK;56;Financials;4;BLK_quarterly_financial_data.xls;blackrock;blackrock inc;blackrock inc
BLL;57;Materials;8;BLL_quarterly_financial_data.xls;ball corporation;ball corporation;ball corp
BMRN;58;Health Care;5;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc
BMY;59;Health Care;5;BMY_quarterly_financial_data.xls;bristol-myers squibb;bristol-myers squibb company;bristol-myers squibb co
BRK.A;60;Financials;4;BRK.A_quarterly_financial_data.xls;berkshire hathaway;berkshire hathaway inc;berkshire hathaway inc
BSX;61;Health Care;5;BSX_quarterly_financial_data.xls;boston scientific;boston scientific corporation;boston scientific corp
BWA;62;Consumer Discretionary;1;BWA_quarterly_financial_data.xls;borgwarner;borgwarner inc;borgwarner inc
BX;63;Financials;4;NA;blackstone group;the blackstone group lp;blackstone group lp
BXP;64;Financials;4;BXP_quarterly_financial_data.xls;boston properties;boston properties inc;boston properties inc
C;65;Financials;4;C_quarterly_financial_data.xls;citigroup;citigroup inc;citigroup inc
CA;66;Information Technology;7;CA_quarterly_financial_data.xls;ca incorporated;ca inc;ca inc
CAG;67;Consumer Staples;2;CAG_quarterly_financial_data.xls;conagra foods;conagra foods inc;conagra foods inc
CAH;68;Health Care;5;CAH_quarterly_financial_data.xls;cardinal health;cardinal health inc;cardinal health inc
CAM;69;Energy;3;CAM_quarterly_financial_data.xls;cameron international;cameron international corporation;cameron international corp
CAT;70;Industrials;6;CAT_quarterly_financial_data.xls;caterpillar;caterpillar inc;caterpillar inc
CBG;71;Financials;4;CBG_quarterly_financial_data.xls;cbre group;cbre group inc;cbre group inc
CBS;72;Consumer Discretionary;1;CBS_quarterly_financial_data.xls;cbs;cbs corporation;cbs corp
CCE;73;Consumer Staples;2;CCE_quarterly_financial_data.xls;coca-cola enterprises;coca-cola enterprises inc;coca-cola enterprises inc
CCI;74;Financials;4;CCI_quarterly_financial_data.xls;crown castle international;crown castle international corp;crown castle international corp
CCL;75;Consumer Discretionary;1;CCL_quarterly_financial_data.xls;carnival;carnival corporation;carnival plc
CE;76;Materials;8;NA;celanese;celanese corporation;celanese corp
CELG;77;Health Care;5;CELG_quarterly_financial_data.xls;celgene;celgene corporation;celgene corp
CERN;78;Health Care;5;CERN_quarterly_financial_data.xls;cerner;cerner corporation;cerner corp
CF;79;Materials;8;CF_quarterly_financial_data.xls;cf industries holdings;cf industries holdings inc;cf industries holdings inc
CHD;80;Consumer Staples;2;CHD_quarterly_financial_data.xls;church & dwight;church & dwight co inc;church & dwight co inc
CHRW;81;Industrials;6;NA;ch robinson worldwide;ch robinson worldwide inc;ch robinson worldwide inc
CHTR;82;Consumer Discretionary;1;NA;charter communications;charter communications inc;charter communications inc
CI;83;Health Care;5;CI_quarterly_financial_data.xls;cigna;cigna corporation;cigna corp
CIT;84;Financials;4;CIT_quarterly_financial_data.xls;cit group;cit group inc;cit group inc
CL;85;Consumer Staples;2;CL_quarterly_financial_data.xls;colgate-palmolive;colgate-palmolive company;colgate-palmolive co
CLR;86;Energy;3;NA;continental resources;continental resources inc;continental resources inc
CLX;87;Consumer Staples;2;CLX_quarterly_financial_data.xls;clorox;the clorox company;clorox co
CMCSA;88;Consumer Discretionary;1;CMCSA_quarterly_financial_data.xls;comcast;comcast corporation;comcast corp
CME;89;Financials;4;CME_quarterly_financial_data.xls;cme group;cme group inc;cme group inc
CMG;90;Consumer Discretionary;1;CMG_quarterly_financial_data.xls;chipotle mexican grill;chipotle mexican grill inc;chipotle mexican grill inc
CMI;91;Industrials;6;CMI_quarterly_financial_data.xls;cummins;cummins inc;cummins inc
CNO;92;Financials;4;CNO_quarterly_financial_data.xls;cna financial;cna financial corporation;cna financial corp
CNP;93;Utilities;11;CNP_quarterly_financial_data.xls;centerpoint energy;centerpoint energy inc;centerpoint energy inc
CNX;94;Utilities;11;CNX_quarterly_financial_data.xls;consolidated edison;consolidated edison inc;consolidated edison inc
COF;95;Financials;4;COF_quarterly_financial_data.xls;capital one financial;capital one financial corporation;capital one financial corp
COH;96;Consumer Discretionary;1;COH_quarterly_financial_data.xls;coach;coach inc;coach inc
COL;97;Industrials;6;COL_quarterly_financial_data.xls;rockwell collins;rockwell collins inc;rockwell collins inc
COP;98;Energy;3;COP_quarterly_financial_data.xls;conocophillips;conocophillips;conocophillips
COST;99;Consumer Staples;2;COST_quarterly_financial_data.xls;costco wholesale;costco wholesale corporation;costco wholesale corp
CPB;100;Consumer Staples;2;CPB_quarterly_financial_data.xls;campbell soup;campbell soup company;campbell soup co
CRM;101;Information Technology;7;CRM_quarterly_financial_data.xls;salesforcecom;salesforcecom inc;salesforcecom inc
CSCO;102;Information Technology;7;CSCO_quarterly_financial_data.xls;cisco systems;cisco systems inc;cisco systems inc
CSX;103;Industrials;6;CSX_quarterly_financial_data.xls;csx;csx corporation;csx corp
CTL;104;Telecommunication Services;10;CTL_quarterly_financial_data.xls;centurylink;centurylink inc;centurylink inc
CTSH;105;Information Technology;7;CTSH_quarterly_financial_data.xls;cognizant technology solutions;cognizant technology solutions corporation;cognizant technology solutions corp
CTXS;106;Information Technology;7;CTXS_quarterly_financial_data.xls;citrix systems;citrix systems inc;citrix systems inc
CVS;107;Consumer Staples;2;CVS_quarterly_financial_data.xls;cvs caremark;cvs health corporation;cvs health corp
CVX;108;Energy;3;CVX_quarterly_financial_data.xls;chevron;chevron corporation;chevron corp
CXO;109;Energy;3;CXO_quarterly_financial_data.xls;concho resources;concho resources inc;concho resources inc
D;110;Utilities;11;D_quarterly_financial_data.xls;dominion resources;dominion resources inc;dominion resources inc
DAL;111;Industrials;6;DAL_quarterly_financial_data.xls;delta air lines;delta air lines inc;delta air lines inc
DD;112;Materials;8;DD_quarterly_financial_data.xls;ei du pont de nemours;e i du pont de nemours and company;ei du pont de nemours & co
DE;113;Industrials;6;DE_quarterly_financial_data.xls;deere;deere & company;deere & co
DFS;114;Financials;4;DFS_quarterly_financial_data.xls;discover financial services;discover financial services;discover financial services
DG;115;Consumer Discretionary;1;DG_1_quarterly_financial_data.xls;dollar general;dollar general corporation;dollar general corp
DGX;116;Health Care;5;DGX_quarterly_financial_data.xls;quest diagnostics;quest diagnostics inc;quest diagnostics inc
DHR;117;Industrials;6;DHR_quarterly_financial_data.xls;danaher;danaher corporation;danaher corp
DIS;118;Consumer Discretionary;1;DIS_quarterly_financial_data.xls;walt disney;the walt disney company;walt disney co
DISCA;119;Consumer Discretionary;1;DISCA_quarterly_financial_data.xls;discovery communications;discovery communications inc;discovery communications inc
DISH;120;Consumer Discretionary;1;DISH_quarterly_financial_data.xls;dish network;dish network corporation;dish network corp
DLTR;121;Consumer Discretionary;1;DLTR_quarterly_financial_data.xls;dollar tree;dollar tree inc;dollar tree inc
DOV;122;Industrials;6;DOV_quarterly_financial_data.xls;dover;dover corporation;dover corp
DOW;123;Materials;8;DOW_quarterly_financial_data.xls;dow chemical;the dow chemical company;dow chemical co
DPS;124;Consumer Staples;2;DPS_quarterly_financial_data.xls;dr pepper snapple group;dr pepper snapple group inc;dr pepper snapple group inc
DTE;125;Utilities;11;DTE_quarterly_financial_data.xls;dte energy;dte energy company;dte energy co
DUK;126;Utilities;11;DUK_quarterly_financial_data.xls;duke energy;duke energy corporation;duke energy corp
DVA;127;Health Care;5;DVA_quarterly_financial_data.xls;davita healthcare partners;davita healthcare partners inc;davita healthcare partners inc
DVN;128;Energy;3;DVN_quarterly_financial_data.xls;devon energy;devon energy corporation;devon energy corp
EBAY;129;Information Technology;7;EBAY_quarterly_financial_data.xls;ebay;ebay inc;ebay inc
ECL;130;Materials;8;ECL_quarterly_financial_data.xls;ecolab;ecolab inc;ecolab inc
EFX;131;Industrials;6;EFX_quarterly_financial_data.xls;equifax;equifax inc;equifax inc
EIX;132;Utilities;11;EIX_quarterly_financial_data.xls;edison international;edison international;edison international
EMC;133;Information Technology;7;EMC_quarterly_financial_data.xls;emc;emc corporation;emc corp
EMN;134;Materials;8;EMN_quarterly_financial_data.xls;eastman chemical;eastman chemical company;eastman chemical co
EMR;135;Industrials;6;EMR_quarterly_financial_data.xls;emerson electric;emerson electric co;emerson electric co
EOG;136;Energy;3;EOG_quarterly_financial_data.xls;eog resources;eog resources inc;eog resources inc
EPD;137;Energy;3;NA;enterprise products partners;enterprise products partners lp;enterprise products partners lp
EQIX;138;Information Technology;7;EQIX_quarterly_financial_data.xls;equinix;equinix inc;equinix inc
EQR;139;Financials;4;EQR_quarterly_financial_data.xls;equity residential;equity residential;equity residential
EQT;140;Energy;3;EQT_quarterly_financial_data.xls;eqt;eqt corporation;eqt corp
ESRX;141;Health Care;5;ESRX_quarterly_financial_data.xls;express scripts holding;express scripts holding company;express scripts holding co
ETP;142;Energy;3;NA;energy transfer partners;energy transfer partners lp;energy transfer partners lp
ETR;143;Utilities;11;ETR_quarterly_financial_data.xls;entergy;entergy corporation;entergy corp
EXC;144;Utilities;11;EXC_quarterly_financial_data.xls;exelon;exelon corporation;exelon corp
EXPE;145;Consumer Discretionary;1;EXPE_quarterly_financial_data.xls;expedia;expedia inc;expedia inc
EXR;146;Financials;4;EXR_quarterly_financial_data.xls;public storage;public storage;public storage
F;147;Consumer Discretionary;1;F_quarterly_financial_data.xls;ford motor;ford motor company;ford motor co
FAST;148;Industrials;6;FAST_quarterly_financial_data.xls;fastenal;fastenal company;fastenal co
FB;149;Information Technology;7;FB_quarterly_financial_data.xls;facebook;facebook inc;facebook inc
FDX;150;Industrials;6;FDX_quarterly_financial_data.xls;fedex;fedex corporation;fedex corp
FE;151;Utilities;11;FE_quarterly_financial_data.xls;firstenergy;firstenergy corp;firstenergy corp
FIS;152;Information Technology;7;FIS_quarterly_financial_data.xls;fidelity national information services;fidelity national information services inc;fidelity national information services inc
FISV;153;Information Technology;7;FISV_quarterly_financial_data.xls;fiserv;fiserv inc;fiserv inc
FITB;154;Financials;4;FITB_quarterly_financial_data.xls;fifth third bancorp;fifth third bancorp;fifth third bancorp
FLT;155;Information Technology;7;NA;fleetcor technologies;fleetcor technologies inc;fleetcor technologies inc
FNMA;156;Financials;4;FNM_quarterly_financial_data.xls;federal national mortgage association;federal national mortgage association;federal national mortgage association
FOX;157;Consumer Discretionary;1;NWS.A_quarterly_financial_data.xls;twenty-first century fox;twenty-first century fox inc;twenty-first century fox inc
GD;158;Industrials;6;GD_quarterly_financial_data.xls;general dynamics;general dynamics corporation;general dynamics corp
GE;159;Industrials;6;GE_quarterly_financial_data.xls;general electric;general electric company;general electric co
GGP;160;Financials;4;GGP_quarterly_financial_data.xls;general growth properties;general growth properties inc;general growth properties inc
GILD;161;Health Care;5;GILD_quarterly_financial_data.xls;gilead sciences;gilead sciences inc;gilead sciences inc
GIS;162;Consumer Staples;2;GIS_quarterly_financial_data.xls;general mills;general mills inc;general mills inc
GLW;163;Information Technology;7;GLW_quarterly_financial_data.xls;corning;corning incorporated;corning inc
GM;164;Consumer Discretionary;1;GM_quarterly_financial_data.xls;general motors;general motors company;general motors co
GPC;165;Consumer Discretionary;1;GPC_quarterly_financial_data.xls;genuine parts;genuine parts company;genuine parts co
GPS;166;Consumer Discretionary;1;GPS_quarterly_financial_data.xls;gap;the gap inc;gap inc
GS;167;Financials;4;GS_quarterly_financial_data.xls;goldman sachs group;the goldman sachs group inc;goldman sachs group inc
GWW;168;Industrials;6;GWW_quarterly_financial_data.xls;ww grainger;w w grainger inc;ww grainger inc
HAL;169;Energy;3;HAL_quarterly_financial_data.xls;halliburton;halliburton company;halliburton co
HCA;170;Health Care;5;HCA_quarterly_financial_data.xls;hca holdings;hca holdings inc;hca holdings inc
HCP;171;Financials;4;HCP_quarterly_financial_data.xls;hcp;hcp inc;hcp inc
HD;172;Consumer Discretionary;1;HD_quarterly_financial_data.xls;home depot;the home depot inc;home depot inc
HES;173;Energy;3;HES_quarterly_financial_data.xls;hess;hess corporation;hess corp
HIG;174;Financials;4;HIG_quarterly_financial_data.xls;hartford financial services group;the hartford financial services group inc;hartford financial services group inc
HLT;175;Consumer Discretionary;1;HLT_quarterly_financial_data.xls;hilton worldwide holdings;hilton worldwide holdings inc;hilton worldwide holdings inc
HOG;176;Consumer Discretionary;1;HOG_quarterly_financial_data.xls;harley-davidson;harley-davidson inc;harley-davidson inc
HON;177;Industrials;6;HON_quarterly_financial_data.xls;honeywell international;honeywell international inc;honeywell international inc
HOT;178;Consumer Discretionary;1;HOT_quarterly_financial_data.xls;starwood hotels & resorts worldwide;starwood hotels & resorts worldwide inc;starwood hotels & resorts worldwide inc
HRL;179;Consumer Staples;2;HRL_quarterly_financial_data.xls;hormel foods;hormel foods corporation;hormel foods corp
HSIC;180;Health Care;5;HSIC_quarterly_financial_data.xls;henry schein;henry schein inc;henry schein inc
HST;181;Financials;4;HST_quarterly_financial_data.xls;host hotels & resorts;host hotels & resorts inc;host hotels & resorts inc
HSY;182;Consumer Staples;2;HSY_quarterly_financial_data.xls;hershey;the hershey company;hershey co
HUM;183;Health Care;5;HUM_quarterly_financial_data.xls;humana;humana inc;humana inc
IBM;184;Information Technology;7;IBM_quarterly_financial_data.xls;international business machines;international business machines corporation;international business machines corp
ICE;185;Financials;4;ICE_quarterly_financial_data.xls;intercontinentalexchange group;intercontinental exchange inc;intercontinental exchange inc
IEP;186;Industrials;6;NA;icahn enterprises;icahn enterprises lp;icahn enterprises lp
ILMN;187;Health Care;5;ILMN_quarterly_financial_data.xls;illumina;illumina inc;illumina inc
INCY;188;Pharmaceuticals, Biotechnology;9;INCY_quarterly_financial_data.xls;incyte;incyte corporation;incyte corp
INTC;189;Information Technology;7;INTC_quarterly_financial_data.xls;intel;intel corporation;intel corp
INTU;190;Information Technology;7;INTU_quarterly_financial_data.xls;intuit;intuit inc;intuit inc
IP;191;Materials;8;IP_quarterly_financial_data.xls;international paper;international paper company;international paper co
IPG;192;Consumer Discretionary;1;IPG_quarterly_financial_data.xls;interpublic group;the interpublic group of companies inc;interpublic group of cos inc
ISRG;193;Health Care;5;ISRG_quarterly_financial_data.xls;intuitive surgical;intuitive surgical inc;intuitive surgical inc
ITT;194;Information Technology;7;ITT_quarterly_financial_data.xls;twitter;twitter inc;twitter inc
ITW;195;Industrials;6;ITW_quarterly_financial_data.xls;illinois tool works;illinois tool works inc;illinois tool works inc
IVZ;196;Financials;4;IVZ_quarterly_financial_data.xls;invesco;invesco ltd;invesco ltd
JBHT;197;Industrials;6;JBHT_quarterly_financial_data.xls;jb hunt transport services;j b hunt transport services inc;jb hunt transport services inc
JCI;198;Consumer Discretionary;1;JCI_quarterly_financial_data.xls;johnson controls;johnson controls inc;johnson controls inc
JNJ;199;Health Care;5;JNJ_quarterly_financial_data.xls;johnson & johnson;johnson & johnson;johnson & johnson
JNPR;200;Information Technology;7;JNPR_quarterly_financial_data.xls;juniper networks;juniper networks inc;juniper networks inc
JPM;201;Financials;4;JPM_quarterly_financial_data.xls;jpmorgan chase;jpmorgan chase & co;jpmorgan chase & co
JWN;202;Consumer Discretionary;1;JWN_quarterly_financial_data.xls;nordstrom;nordstrom inc;nordstrom inc
K;203;Consumer Staples;2;K_quarterly_financial_data.xls;kellogg;kellogg company;kellogg co
KEY;204;Financials;4;KEY_quarterly_financial_data.xls;key corporation;keycorp;keycorp
KIM;205;Financials;4;KIM_quarterly_financial_data.xls;kimco realty;kimco realty corporation;kimco realty corp
KLAC;206;Information Technology;7;KLAC_quarterly_financial_data.xls;kla-tencor;kla-tencor corporation;kla-tencor corp
KMB;207;Consumer Staples;2;KMB_quarterly_financial_data.xls;kimberly-clark;kimberly-clark corporation;kimberly-clark corp
KMI;208;Energy;3;KMI_quarterly_financial_data.xls;kinder morgan;kinder morgan inc;kinder morgan inc
KMX;209;Consumer Discretionary;1;KMX_quarterly_financial_data.xls;carmax;carmax inc;carmax inc
KO;210;Consumer Staples;2;KO_quarterly_financial_data.xls;coca-cola company;the coca-cola company;coca-cola co
KR;211;Consumer Staples;2;KR_quarterly_financial_data.xls;kroger;the kroger co;kroger co
KSS;212;Consumer Discretionary;1;KSS_quarterly_financial_data.xls;kohl's;kohl's corporation;kohl's corp
KSU;213;Industrials;6;KSU_quarterly_financial_data.xls;kansas city southern;kansas city southern;kansas city southern
L;214;Financials;4;LTR_quarterly_financial_data.xls;loews;loews corporation;loews corp
LB;215;Consumer Discretionary;1;LB_quarterly_financial_data.xls;l brands;l brands inc;l brands inc
LH;216;Health Care;5;LH_quarterly_financial_data.xls;laboratory corp of america holdings;laboratory corporation of america holdings;laboratory corp of america holdings
LLL;217;Industrials;6;LLL_quarterly_financial_data.xls;l-3 communications holdings;l-3 communications holdings inc;l-3 communications holdings inc
LLTC;218;Information Technology;7;LLTC_quarterly_financial_data.xls;linear technology;linear technology corporation;linear technology corp
LLY;219;Health Care;5;LLY_quarterly_financial_data.xls;eli lilly;eli lilly and company;eli lilly & co
LMT;220;Industrials;6;LMT_quarterly_financial_data.xls;lockheed martin;lockheed martin corporation;lockheed martin corp
LNC;221;Financials;4;LNC_quarterly_financial_data.xls;lincoln national;lincoln national corporation;lincoln national corp
LNG;222;Energy;3;NA;cheniere energy;cheniere energy inc;cheniere energy inc
LOW;223;Consumer Discretionary;1;LOW_quarterly_financial_data.xls;lowe's cos;lowe's companies inc;lowe's cos inc
LRCX;224;Information Technology;7;LRCX_quarterly_financial_data.xls;lam research;lam research corporation;lam research corp
LTRPA;225;Consumer Discretionary;1;NA;liberty media;liberty media corporation;liberty media corp
LUV;226;Industrials;6;LUV_quarterly_financial_data.xls;southwest airlines;southwest airlines co;southwest airlines co
LVS;227;Consumer Discretionary;1;NA;las vegas sands;las vegas sands corp;las vegas sands corp
LYB;228;Materials;8;LYB_quarterly_financial_data.xls;lyondellbasell industries;lyondellbasell industries nv;lyondellbasell industries nv
M;229;Consumer Discretionary;1;M_quarterly_financial_data.xls;macy's;macy's inc;macy's inc
MA;230;Information Technology;7;MA_quarterly_financial_data.xls;mastercard;mastercard incorporated;mastercard inc
MAC;231;Financials;4;MAC_quarterly_financial_data.xls;macerich;the macerich company;macerich co
MAR;232;Consumer Discretionary;1;MAR_quarterly_financial_data.xls;marriott international;marriott international inc;marriott international inc
MAS;233;Industrials;6;MAS_quarterly_financial_data.xls;masco;masco corporation;masco corp
MAT;234;Consumer Discretionary;1;MAT_quarterly_financial_data.xls;mattel;mattel inc;mattel inc
MCD;235;Consumer Discretionary;1;MCD_quarterly_financial_data.xls;mcdonald's;mcdonald's corporation;mcdonald's corp
MCHP;236;Information Technology;7;MCHP_quarterly_financial_data.xls;microchip technology;microchip technology incorporated;microchip technology inc
MCK;237;Health Care;5;MCK_quarterly_financial_data.xls;mckesson;mckesson corporation;mckesson corp
MCO;238;Financials;4;MCO_quarterly_financial_data.xls;moody's;moody's corporation;moody's corp
MDLZ;239;Consumer Staples;2;KFT_quarterly_financial_data.xls;mondelez international;mondelez international inc;mondelez international inc
MET;240;Financials;4;MET_quarterly_financial_data.xls;metlife;metlife inc;metlife inc
MGLN;241;Energy;3;NA;magellan midstream partners;magellan midstream partners lp;magellan midstream partners lp
MGM;242;Consumer Discretionary;1;MGM_quarterly_financial_data.xls;mgm resorts international;mgm resorts international;mgm resorts international
MHK;243;Consumer Discretionary;1;MHK_quarterly_financial_data.xls;mohawk industries;mohawk industries inc;mohawk industries inc
MJN;244;Consumer Staples;2;MJN_quarterly_financial_data.xls;mead johnson nutrition;mead johnson nutrition company;mead johnson nutrition co
MKC;245;Consumer Staples;2;MKC_quarterly_financial_data.xls;mccormick;mccormick & company incorporated;mccormick & co inc
MKL;246;Financials;4;NA;markel;markel corporation;markel corp
MMC;247;Financials;4;MMC_quarterly_financial_data.xls;marsh & mclennan;marsh & mclennan companies inc;marsh & mclennan cos inc
MMM;248;Industrials;6;MMM_quarterly_financial_data.xls;3m;3m company;3m company
MNST;249;Consumer Staples;2;MNST_quarterly_financial_data.xls;monster beverage;monster beverage corporation;monster beverage corp
MO;250;Consumer Staples;2;MO_quarterly_financial_data.xls;altria group;altria group inc;altria group inc
MON;251;Materials;8;MON_quarterly_financial_data.xls;monsanto;monsanto company;monsanto co
MOS;252;Materials;8;MOS_quarterly_financial_data.xls;mosaic;the mosaic company;mosaic co
MPC;253;Energy;3;MPC_quarterly_financial_data.xls;marathon petroleum;marathon petroleum corporation;marathon petroleum corp
MRK;254;Health Care;5;MRK_quarterly_financial_data.xls;merck & company;merck & co inc;merck & co inc
MRO;255;Energy;3;MRO_quarterly_financial_data.xls;marathon oil;marathon oil corporation;marathon oil corp
MS;256;Financials;4;MS_quarterly_financial_data.xls;morgan stanley;morgan stanley;morgan stanley
MSFT;257;Information Technology;7;MSFT_quarterly_financial_data.xls;microsoft;microsoft corporation;microsoft corp
MSI;258;Information Technology;7;MOT_quarterly_financial_data.xls;motorola solutions;motorola solutions inc;motorola solutions inc
MTB;259;Financials;4;MTB_quarterly_financial_data.xls;m&t bank;m&t bank corporation;m&t bank corp
MU;260;Information Technology;7;MU_quarterly_financial_data.xls;micron technology;micron technology inc;micron technology inc
MXIM;261;Information Technology;7;NA;maxim integrated products;maxim integrated products inc;maxim integrated products inc
MYL;262;Health Care;5;MYL_quarterly_financial_data.xls;mylan;mylan nv;mylan inc
NBL;263;Energy;3;NBL_quarterly_financial_data.xls;noble energy;noble energy inc;noble energy inc
NEE;264;Utilities;11;FPL_quarterly_financial_data.xls;nextera energy;nextera energy inc;nextera energy inc
NEM;265;Materials;8;NEM_quarterly_financial_data.xls;newmont mining;newmont mining corporation;newmont mining corp
NFLX;266;Consumer Discretionary;1;NFLX_quarterly_financial_data.xls;netflix;netflix inc;netflix inc
NKE;267;Consumer Discretionary;1;NKE_quarterly_financial_data.xls;nike;nike inc;nike inc
NLSN;268;Industrials;6;NLSN_quarterly_financial_data.xls;nielsen holdings;nielsen nv;nielsen nv
NLY;269;Financials;4;NA;annaly capital management;annaly capital management inc;annaly capital management inc
