"","Ticker","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Year","Date","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio"
"2928","HON",177,"Industrials",6,"HON_quarterly_financial_data.xls","honeywell international","honeywell international inc","honeywell international inc","2012","2012-12-31",783787893,783787893,1,"4.1853e+10","1.7598e+10","2.8788e+10","1.3045e+10","1.2975e+10",9e+07,0,1.4874e+10,6.395e+09,"9581000000","251000000","251000000","0.33","0.31",0.41,"1349000000","-563000000","-938000000","-126000000","4.634e+09",2.95e+08,"61.72","64.29","59.15","0.2348","0.0716","16.55","3.68","20.71",15.82,"0.4081","0.4929","0.31","0.0777","0.92","1.34","1.349"
"2932","HON",177,"Industrials",6,"HON_quarterly_financial_data.xls","honeywell international","honeywell international inc","honeywell international inc","2016","2016-12-31",761194241,761194241,1,"5.4146e+10","2.3058e+10","3.4596e+10","1.6331e+10","1.9369e+10",1.81e+08,0,2.2341e+10,1.2182e+10,"9985000000","1101000000","1101000000","1.45","1.41",0.67,"2042000000","-66000000","-362000000","1412000000","7.843e+09",3.29e+08,"111.94","118.09","105.78","0.2547","0.0919","25.45","4.45","17.74",23.97,"0.3888","0.6289","0.3577","0.1224","0.75","2.25","1.4119"
"2951","HOT",178,"Consumer Discretionary",1,"HOT_quarterly_financial_data.xls","starwood hotels & resorts worldwide","starwood hotels & resorts worldwide inc","starwood hotels & resorts worldwide inc","2012","2012-12-31",193718203,193718203,1,"8.861e+09","1919000000","5.719e+09","2029000000","3.137e+09",5e+06,0,2.04e+09,1.273e+09,"1533000000","142000000","142000000","0.74","0.72",1.25,"283000000","120000000","-746000000","-343000000","305000000",1.13e+08,"54.35","58.48","50.22","0.1742","0.0614","16.19","3.16","18.18",28.27,"0.4309","0.4058","0.354","0.0889","0.69","0.88","0.9458"
"2952","HOT",178,"Consumer Discretionary",1,"HOT_quarterly_financial_data.xls","starwood hotels & resorts worldwide","starwood hotels & resorts worldwide inc","starwood hotels & resorts worldwide inc","2013","2013-12-31",191923666,191923666,1,"8.762e+09","1996000000","5.399e+09","1924000000","3.36e+09",3e+06,0,2.032e+09,1.523e+09,"1506000000","128000000","128000000","0.68","0.67",1.35,"296000000","-26000000","-352000000","-78000000","616000000",1.29e+08,"72.09","79.77","64.4","0.1855","0.0715","17.51","3.93","21.65",29.62,"0.408","0.4533","0.3835","0.1038","0.69","0.87","1.0374"
"2961","HOT",178,"Consumer Discretionary",1,"HOT_quarterly_financial_data.xls","starwood hotels & resorts worldwide","starwood hotels & resorts worldwide inc","starwood hotels & resorts worldwide inc","2014","2014-12-31",171692071,171692071,1,"8.659e+09","2321000000","7.131e+09","2450000000","1.525e+09",3e+06,0,1.956e+09,2.398e+09,"1493000000","234000000","234000000","1.33","1.33",1,"317000000","439000000","-274000000","481000000","935000000",1.06e+08,"75.66","82.8","68.53","0.2499","0.0732","8.88","6.29","27.22",33.62,"1.1576","1.5725","0.1761","0.1058","0.69","1.23","0.9473"
"2962","HOT",178,"Consumer Discretionary",1,"HOT_quarterly_financial_data.xls","starwood hotels & resorts worldwide","starwood hotels & resorts worldwide inc","starwood hotels & resorts worldwide inc","2015","2015-12-31",168759931,168759931,1,"8.268e+09","2295000000","6.969e+09","2236000000","1.296e+09",3e+06,0,1.908e+09,2.154e+09,"1433000000","166000000","166000000","0.99","0.98",0.38,"199000000","-102000000","-112000000","-18000000","1048000000",9.1e+07,"74.12","82.83","65.4","0.3742","0.0599","7.68","10.02","22.95",35.13,"0.5259","1.662","0.1567","0.0849","0.71","0.64","1.0264"
"2967","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2015","2015-12-26",81942080,163884160,2,"6504740000","3231100000","3075732000","2146997000","2884256000",544752000,0,2500564000,463752000,"2850918000","129948000","129948000","1.58","1.55",0,"298311000","-56562000","-221364000","11605000","72086000",19520000,"71.79","80","63.58","0.1678","0.0769","17.6","4.05","25.15",0,"0","0.1608","0.4434","0.0451","1.71","1.7","1.5049"
"2968","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2016","2016-12-31",79196697,158393394,2,"6730396000","3312780000","3321956000","2290646000","2793066000",615374000,0,2640920000,715457000,"3120934000","139216000","139216000","1.77","1.74",0,"264508000","-136588000","-129088000","-13811000","62381000",25654000,"77.67","82.24","73.11","0.1755","0.0762","17.63","4.32","25.85",0,"0","0.2562","0.415","0.0438","1.74","1.51","1.4462"
"2970","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2012","2012-12-29",87573322,175146644,2,"5333997000","2704377000","2282958000","1472709000","2613585000",437454000,0,2063228000,488121000,"2408438000","112467000","112467000","1.31","1.27",0,"199661000","-32304000","-141306000","32744000","122080000",18303000,"39.06","41.45","36.67","0.1522","0.0775","14.92","2.67","18.6",0,"0","0.1868","0.49","0.0434","1.78","1.04","1.8363"
"2973","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2013","2013-12-28",85440027,170880054,2,"5624636000","2834665000","2339096000","1550663000","2785197000",500343000,0,2052138000,450233000,"2526370000","124268000","124268000","1.45","1.45",0,"274628000","-172847000","13266000","118701000","188616000",21482000,"54.64","58.03","51.25","0.1615","0.0811","16.3","3.46","22.96",0,"0","0.1617","0.4952","0.0451","1.8","1.48","1.828"
"2982","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2017","2017-12-30",153694200,153694200,1,"7811235000","4033260000","4154687000","2776215000","2811499000",845049000,0,2970972000,907756000,"3318054000","-8535000","-8535000","-0.05","-0.05",0,"238014000","-21481000","-128619000","94779000","174658000",26186000,"75.08","84.88","65.28","0.1409","0.0556","18.29","3.91","21.61",0,"0","0.3229","0.3599","0.0326","1.7","1.38","1.4528"
"2985","HSIC",180,"Health Care",5,"HSIC_quarterly_financial_data.xls","henry schein","henry schein inc","henry schein inc","2014","2014-12-27",83801860,167603720,2,"6138807000","2913166000","2757835000","1780111000","2813594000",567378000,0,2527859000,542776000,"2702096000","132966000","132966000","1.6","1.57",0,"274019000","-83079000","-166137000","12932000","89474000",21334000,"62.13","69.58","54.67","0.165","0.0772","16.79","3.71","23.36",0,"0","0.1929","0.4583","0.0449","1.72","1.51","1.6365"
"2987","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2013","2013-12-31",756740181,756740181,1,"1.2814e+10","None","5.362e+09","None","7.228e+09",2.24e+08,0,0,4.759e+09,"1268000000","123000000","123000000","0.16","0.15",0.13,"679000000","13000000","-17000000","675000000","861000000",-9.6e+07,"18.27","19.44","17.09","0.0442","0.0247","9.55","1.91","63",6.07,"1.0918","0.6584","0.5641","0.0614","0.4","1.02","None"
"2988","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2015","2015-12-31",752278409,752278409,1,"1.1784e+10","None","4.559e+09","None","7.064e+09",1.61e+08,0,0,4.017e+09,"1334000000","163000000","163000000","0.22","0.22",0.2,"353000000","-34000000","-344000000","-26000000","239000000",9.7e+07,"16.52","17.85","15.2","0.0782","0.0467","9.39","1.78","19.9",7.62,"1.0798","0.5687","0.5995","0.1036","0.45","0.34","None"
"2999","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2016","2016-12-31",739251195,739251195,1,"1.1408e+10","None","4.21e+09","None","6.994e+09",2.04e+08,0,0,3.649e+09,"1337000000","126000000","126000000","0.18","0.17",0.25,"386000000","-102000000","-248000000","36000000","372000000",1.14e+08,"17","19.18","14.83","0.1078","0.0659","9.46","1.77","15.89",8.47,"0.8277","0.5217","0.6131","0.1403","0.47","0.37","None"
"3000","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2017","2017-12-31",741510755,741510755,1,"1.1693e+10","None","4.524e+09","None","6.973e+09",1.96e+08,0,0,3.954e+09,"1344000000","92000000","92000000","0.13","0.13",0.25,"366000000","-67000000","-158000000","140000000","1109000000",6e+07,"19.39","20.65","18.14","0.0801","0.0479","9.4","2.03","24.24",9.32,"1.1159","0.567","0.5963","0.1047","0.46","0.41","None"
"3002","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2014","2014-12-31",757520164,757520164,1,"1.2207e+10","None","4.614e+09","None","7.336e+09",2.57e+08,0,0,3.992e+09,"1320000000","254000000","254000000","0.33","0.31",0.26,"386000000","75000000","-161000000","297000000","684000000",-6.1e+07,"22.28","24.33","20.23","0.0999","0.06","9.68","2.31","28.2",6.82,"0.7759","0.5442","0.601","0.1367","0.44","0.59","None"
"3004","HST",181,"Financials",4,"HST_quarterly_financial_data.xls","host hotels & resorts","host hotels & resorts inc","host hotels & resorts inc","2012","2012-12-31",726697966,726697966,1,"1.2994e+10","None","6.135e+09","None","6.825e+09",3.4e+07,0,0,5.411e+09,"1731000000","15000000","15000000","0.02","0.02",0.17,"357000000","-64000000","-130000000","163000000","417000000",1.35e+08,"15.52","17.25","13.78","0.0089","0.0047","9.39","1.63","172.44",5.61,"3.5639","0.7928","0.5252","0.0115","0.4","0.31","None"
"3010","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2015","2015-12-31",216519701,216519701,1,"5344371000","1848598000","4296909000","2217912000","997997000",49465000,0,1063557000,1557091000,"1909222000","213384000","213384000","1","0.97",0.58,"626592000","-145841000","-467771000","12980000","346529000",118896000,"90.32","97.07","83.58","0.4768","0.0925","4.61","22.03","39.96",21.5,"0.9485","1.5602","0.1867","0.0694","1.33","2.34","0.8335"
"3013","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2014","2014-12-31",220828040,220828040,1,"5629516000","2247047000","4109986000","1935647000","1455062000",64468000,0,1087796000,1548963000,"2010027000","202508000","202508000","0.95","0.93",0.54,"450788000","-170206000","-382816000","-102234000","374854000",137566000,"98.87","106.64","91.09","0.5509","0.1529","6.59","14.14","26.51",19.27,"0.5349","1.0645","0.2585","0.1141","1.34","1.42","1.1609"
"3020","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2017","2017-12-31",210483774,210483774,1,"5553726000","2001910000","4622161000","2076543000","915338000",16227000,0,1190217000,2061023000,"1939636000","181133000","181133000","1.34","0.82",0.66,"623616000","-141522000","-378049000","105123000","380179000",102901000,"109.17","115.82","102.52","0.7907","0.1428","4.35","27.92","32.59",26.46,"0.7977","2.2517","0.1648","0.0901","1.37","2.47","0.9641"
"3025","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2012","2012-12-31",224087596,224087596,1,"4754839000","2113485000","3706466000","1471110000","1036749000",11624000,0,802716000,1530967000,"1751035000","149879000","149879000","0.68","0.66",0.42,"488920000","-70927000","-155956000","262037000","728272000",57427000,"71.75","74.64","68.85","0.6705","0.1409","4.63","16.31","45.7",15.42,"0.5295","1.4767","0.218","0.0995","1.42","1.93","1.4367"
"3027","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2013","2013-12-31",223805223,223805223,1,"5357488000","2487334000","3741436000","1408022000","1604834000",11218000,0,771805000,1795142000,"1956253000","186075000","186075000","0.96","0.89",0.52,"564691000","-122409000","-25102000","417180000","1118508000",122409000,"95.97","100.9","91.04","0.6365","0.1643","7.17","16.02","28.39",17.22,"0.4919","1.1186","0.2995","0.1148","1.43","1.98","1.7665"
"3028","HSY",182,"Consumer Staples",2,"HSY_quarterly_financial_data.xls","hershey","the hershey company","hershey co","2016","2016-12-31",212414672,212414672,1,"5524333000","1816778000","4696646000","1909443000","785856000",41831000,0,1305081000,2347455000,"1970244000","116853000","116853000","0.57","0.54",0.62,"560936000","-109492000","-484205000","-36366000","296967000",100632000,"99.53","104.44","94.63","0.8888","0.1295","3.7","23.59","26.4",23.9,"0.7104","2.9871","0.1423","0.0968","1.34","2.17","0.9515"
"3042","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2016","2016-12-31",149324101,149324101,1,"2.5396e+10","1.619e+10","1.4711e+10","7.822e+09","1.0685e+10",0,0,3.552e+09,3.792e+09,"12878000000","-381000000","-381000000","-2.55","-2.55",0.29,"-2773000000","-828000000","709000000","-2892000000","3.877e+09",1.32e+08,"191.03","216.76","165.31","0.0566","0.0225","71.56","2.52","26.28",6.25,"0.2817","0.3549","0.4207","0.0113","1.99","-19.45","2.0698"
"3044","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2015","2015-12-31",148303389,148303389,1,"2.4705e+10","1.5711e+10","1.4359e+10","8.152e+09","1.0346e+10",0,0,3.622e+09,3.821e+09,"13361000000","101000000","101000000","0.68","0.67",0.28,"337000000","-297000000","934000000","974000000","2.571e+09",1.38e+08,"175.46","186.67","164.25","0.125","0.051","69.76","2.51","20.14",5.09,"0.1328","0.3693","0.4188","0.0235","2.17","1.34","1.9273"
"3045","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2017","2017-12-31",137684326,137684326,1,"2.7178e+10","1.7402e+10","1.7336e+10","9.406e+09","9.842e+09",0,0,3.507e+09,4.77e+09,"13189000000","184000000","184000000","1.31","1.28",0.4,"-2911000000","-1165000000","-1747000000","-5823000000","4.042e+09",1.48e+08,"247.07","260.86","233.28","0.2318","0.0789","71.48","3.15","19.24",7.74,"0.0866","0.4847","0.3621","0.0455","1.73","-22.22","1.8501"
"3046","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2014","2014-12-31",149607897,149607897,1,"2.3466e+10","1.4712e+10","1.382e+10","7.355e+09","9.646e+09",0,0,4.283e+09,3.825e+09,"12328000000","145000000","145000000","0.96","0.95",0.27,"193000000","305000000","-1268000000","-770000000","1.935e+09",1.67e+08,"136.62","149.07","124.17","0.1162","0.0491","64.48","2.07","22.04",3.95,"0.1467","0.3965","0.4111","0.0236","2.08","0.17","2.0003"
"3047","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2013","2013-12-31",154034320,154034320,1,"2.0735e+10","1.23e+10","1.1419e+10","6.323e+09","9.316e+09",0,0,4.426e+09,2.6e+09,"10187000000","-30000000","-30000000","-0.19","-0.19",0.27,"-16000000","-39000000","-62000000","-117000000","1.138e+09",1.27e+08,"98.23","105.25","91.21","0.1316","0.059","60.48","1.59","10.81",2.85,"0.1356","0.2791","0.4493","0.0298","1.98","-0.93","1.9453"
"3052","HUM",183,"Health Care",5,"HUM_quarterly_financial_data.xls","humana","humana inc","humana inc","2012","2012-12-31",158356929,158356929,1,"1.9979e+10","1.171e+10","1.1132e+10","6.375e+09","8.847e+09",0,0,4.371e+09,2.611e+09,"9557000000","192000000","192000000","1.21","1.2",0.26,"205000000","-1212000000","950000000","-57000000","1.306e+09",1.06e+08,"70.3","76.2","64.39","0.1428","0.0608","55.87","1.28","9.4",1.78,"0.1351","0.2951","0.4428","0.0312","1.95","0.63","1.8369"
"3065","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2015","2015-12-31",960880915,960880915,1,"1.10495e+11","4.2504e+10","9.6071e+10","3.4269e+10","1.4262e+10",1.62e+08,0,3.5508e+10,3.3428e+10,"22058000000","4463000000","4463000000","4.6","4.58",1.3,"5278000000","-5445000000","-1348000000","-1794000000","7.686e+09",1.018e+09,"142.07","152.39","131.75","0.9883","0.1189","14.84","10.37","9.89",34.17,"0.369","2.3439","0.1291","0.1614","0.74","4.43","1.2403"
"3075","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2017","2017-12-31",921167894,921167894,1,"1.25356e+11","4.9735e+10","1.07631e+11","3.7363e+10","1.7594e+10",1.31e+08,0,4.053e+10,3.9837e+10,"22542000000","-1054000000","-1054000000","-1.13","-1.13",1.4,"5732000000","-3818000000","-919000000","1057000000","1.1972e+10",8.33e+08,"153.86","162.51","145.21","0.3111","0.0474","19.1","7.26","12.85",45.47,"0.9372","2.2642","0.1404","0.0727","0.65","5.32","1.3311"
"3076","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2016","2016-12-31",943212551,943212551,1,"1.1747e+11","4.3888e+10","9.9078e+10","3.6275e+10","1.8246e+10",1.46e+08,0,4.0887e+10,3.4655e+10,"21771000000","4501000000","4501000000","4.75","4.72",1.4,"3657000000","-3376000000","-1287000000","-1212000000","7.826e+09",7.83e+08,"159.07","168.51","149.63","0.7205","0.101","19.34","8.89","12.97",39.67,"0.4412","1.8993","0.1553","0.1486","0.68","3.05","1.2099"
"3077","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2012","2012-12-31",1114509771,1114509771,1,"1.19213e+11","4.9433e+10","1.00229e+11","4.3625e+10","1.886e+10",1.24e+08,0,3.3034e+10,2.4088e+10,"29304000000","5833000000","5833000000","5.18","5.13",0.85,"6346000000","-4092000000","-3791000000","-1497000000","1.0412e+10",9.82e+08,"198.28","211.79","184.78","0.8142","0.1431","16.92","10.4","14.28",21.22,"0.2255","1.2772","0.1582","0.1589","0.9","4.81","1.1331"
"3080","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2013","2013-12-31",1041340758,1041340758,1,"1.26223e+11","5.135e+10","1.03294e+11","4.0154e+10","2.2792e+10",1.37e+08,0,3.5055e+10,3.2856e+10,"27699000000","6184000000","6184000000","5.77","5.72",0.95,"6528000000","-2903000000","-3013000000","644000000","1.0716e+10",1.059e+09,"180.18","187.79","172.57","0.8291","0.1384","21.89","9.84","12.5",24.92,"0.2429","1.4416","0.1806","0.1652","0.84","5.25","1.2788"
"3081","IBM",184,"Information Technology",7,"IBM_quarterly_financial_data.xls","international business machines","international business machines corporation","international business machines corp","2014","2014-12-31",988424172,988424172,1,"1.17532e+11","4.9422e+10","1.05518e+11","3.96e+10","1.1868e+10",1.46e+08,0,3.366e+10,3.5073e+10,"23548000000","5483000000","5483000000","5.53","5.5",1.1,"6058000000","-1236000000","-5699000000","-1085000000","8.476e+09",9.75e+08,"170.69","190.89","150.5","0.8","0.0995","12.01","11.85","14.05",29.17,"0.3523","2.9553","0.101","0.1296","0.77","5.14","1.248"
"3084","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2012","2012-12-31",72652467,363262335,5,"37214842000","33750087000","33538284000","32245697000","3643377000",33181000,0,2736937000,969500000,"323371000","129472000","129472000","1.78","1.76",0,"160240000","-22053000","233094000","371019000","1612195000",17859000,"25.81","27.08","24.54","0.158","0.0147","10.03","2.63","17.25",0,"0","0.2661","0.0979","0.4047","0.04","0.39","1.0467"
"3085","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2016","2016-12-31",595341344,595341344,1,"8.2003e+10","5.7133e+10","6.6213e+10","5.8617e+10","1.5717e+10",7.3e+07,0,2.2711e+10,3.871e+09,"1484000000","352000000","352000000","0.59","0.58",0.17,"641000000","-592000000","-96000000","-51000000","407000000",1.11e+08,"56.06","59.86","52.27","0.0924","0.0182","26.4","2.15","22.94",1.91,"0.2848","0.2463","0.1917","0.2387","0.08","0.89","0.9747"
"3087","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2017","2017-12-31",582294307,582294307,1,"7.8264e+10","5.3562e+10","6.1312e+10","5.4171e+10","1.6924e+10",2.8e+07,0,2.2485e+10,4.267e+09,"1439000000","1253000000","1253000000","2.1","2.07",0.2,"675000000","-35000000","-437000000","206000000","1568000000",1.17e+08,"68.95","72.99","64.91","0.1575","0.0321","29.06","2.52","25.07",2.71,"0.1847","0.2521","0.2162","0.4357","0.07","0.96","0.9888"
"3088","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2014","2014-12-31",112008777,560043885,5,"6.8279e+10","5.0245e+10","5.5722e+10","5.0539e+10","1.236e+10",1.97e+08,0,1.6315e+10,2.247e+09,"1006000000","287000000","287000000","2.56","2.53",0.65,"541000000","-453000000","-55000000","14000000","652000000",8.9e+07,"42.22","45.76","38.68","0.0767","0.0145","22.07","1.89","51.24",0.65,"0.3004","0.1818","0.181","0.2324","0.06","0.81","0.9942"
"3089","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2013","2013-12-31",114961022,574805110,5,"6.4818e+10","4.4259e+10","5.1881e+10","4.4342e+10","1.2583e+10",3.54e+08,0,1.8905e+10,3.923e+09,"733623000","-176080000","-176080000","-1.9","-1.9",0.65,"173166000","-2263885000","1494749000","-576071000","961000000",77091000,"40.61","45.41","35.82","0.042","0.0053","21.89","3.66","26.65",0.13,"0.2942","0.3118","0.1941","0.1415","0.04","0.17","0.9981"
"3094","ICE",185,"Financials",4,"ICE_quarterly_financial_data.xls","intercontinentalexchange group","intercontinental exchange inc","intercontinental exchange inc","2015","2015-12-31",118887696,594438480,5,"7.7987e+10","5.3313e+10","6.3112e+10","5.4743e+10","1.4808e+10",6.7e+07,0,2.2837e+10,4.717e+09,"1302000000","370000000","370000000","3.32","3.29",0.75,"421000000","-4144000000","3668000000","-60000000","627000000",8.5e+07,"49.14","53.35","44.93","0.0983","0.0186","24.91","2.18","23.11",1.23,"0.2564","0.3185","0.1899","0.2721","0.07","0.57","0.9739"
"3095","ILMN",187,"Health Care",5,"ILMN_quarterly_financial_data.xls","illumina","illumina inc","illumina inc","2012","2012-12-30",124040754,124040754,1,"2566085000","1787048000","1244346000","304571000","1318581000",3158000,0,499523000,805406000,"309265000","71903000","71903000","0.59","0.53",0,"78876000","18611000","-6042000","90892000","433981000",1.8e+07,"50.89","57","44.78","0.1239","0.0627","10.63","5.14","74.84",0,"0","0.6108","0.5138","0.1317","0.48","0.49","5.8674"
"3098","ILMN",187,"Health Care",5,"ILMN_quarterly_financial_data.xls","illumina","illumina inc","illumina inc","2014","2014-12-28",143800000,143800000,1,"3339640000","1889603000","1876842000","722158000","1462798000",0,0,1039404000,986780000,"512379000","153280000","153280000","1.08","1.03",0,"140549000","-332783000","202000","-193741000","636154000",64332000,"171.25","197.37","145.12","0.2622","0.1112","10.17","19.09","92.07",0,"0","0.6746","0.438","0.1898","0.59","0.53","2.6166"
"3099","ILMN",187,"Health Care",5,"ILMN_quarterly_financial_data.xls","illumina","illumina inc","illumina inc","2017","2017-12-31",1.47e+08,1.47e+08,1,"5.257e+09","2.98e+09","2.288e+09","746000000","2.749e+09",2.2e+08,0,9.46e+08,1.182e+09,"778000000","68000000","68000000","0.47","0.48",0,"294000000","-315000000","-109000000","-129000000","1225000000",7.6e+07,"214.47","230.72","198.21","0.2672","0.147","18.7","10.97","40.93",0,"0","0.43","0.5229","0.2638","0.56","1.48","3.9946"
"3103","ILMN",187,"Health Care",5,"ILMN_quarterly_financial_data.xls","illumina","illumina inc","illumina inc","2013","2013-12-29",128199999,128199999,1,"3019006000","1617535000","1485522000","322063000","1533202000",282000,0,1054234000,839305000,"387326000","80661000","80661000","0.63","0.52",0,"126839000","-150810000","43556000","19801000","711637000",35809000,"91.66","110.54","72.77","0.0894","0.044","11.96","8.43","110.43",0,"0","0.5474","0.5078","0.0882","0.5","0.71","5.0224"
"3109","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2016","2016-12-31",189408381,189408381,1,"1638597000","994178000","1219130000","273501000","419467000",0,0,426030000,651481000,"326498000","74050000","8873000","0.04","0.05",0,"94378000","-36012000","13872000","72244000","652343000",15872000,"95.69","108.1","83.28","0.3172","0.0731","2.21","48.82","121.13",0,"0","1.5531","0.256","0.0943","0.78","0.41","3.635"
"3110","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2014","2014-12-31",171765591,171765591,1,"830069000","699214000","911697000","221515000","-81628000",0,0,15987000,603478000,"123974000","-36944000","-36944000","-0.21","-0.21",0,"44720000","-3518000","29097000","70299000","452297000",10535000,"62.32","80.78","43.86","None","-0.0655","-0.48","None","None",0,"None","None","None","None","0.69","0.2","3.1565"
"3114","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2017","2017-12-31",211663861,211663861,1,"2302582000","1504854000","671953000","375396000","1630629000",0,0,629395000,16608000,"444156000","-149629000","-149629000","-0.7","-0.7",0,"-89267000","-143002000","3725000","-228537000","899509000",25251000,"105.61","118.32","92.91","-0.2328","-0.1581","7.7","12.68","None",0,"None","0.0102","0.7082","None","0.78","-0.54","4.0087"
"3122","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2012","2012-12-31",133896893,133896893,1,"330419000","309514000","505376000","136074000","-174957000",0,0,0,331076000,"113846000","18779000","18779000","0.15","0.14",0,"-22008000","-500000","7482000","-15026000","224057000",930000,"17.03","18.63","15.43","None","-0.1438","-1.31","None","None",0,"None","None","None","None","0.96","-0.17","2.2746"
"3124","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2015","2015-12-31",187199761,187199761,1,"1007440000","842375000","836285000","168007000","171155000",0,0,12279000,619893000,"243881000","55178000","55178000","0.31","0.3",0,"70009000","-4529000","10158000","75638000","521439000",6896000,"None","None","None","None","0.007","0.91","None","None",0,"0","3.6218","0.1699","0.0087","0.81","0.34","5.0139"
"3125","INCY ",188,"Pharmaceuticals, Biotechnology",9,"INCY_quarterly_financial_data.xls","incyte","incyte corporation","incyte corp","2013","2013-12-31",165536632,165536632,1,"629568000","555799000","822676000","108042000","-193108000",0,0,0,661567000,"97072000","-42870000","-42870000","-0.26","-0.26",0,"-11689000","-19934000","230930000","199307000","471429000",21305000,"42.74","52.47","33.01","None","-0.2014","-1.17","237.44","None",0,"None","None","None","None","0.86","-0.2","5.1443"
