"","symbol","section","sub.section","group","date","Cap Ex as a % of Sales","Free Cash Flow Growth % YOY","Free Cash Flow/Net Income","Free Cash Flow/Sales %","Operating Cash Flow Growth % YOY"
"71","AAL","Cash Flow","Cash Flow Ratios",51,2008-12-01,3.69,NA,NA,NA,NA
"72","AAL","Cash Flow","Cash Flow Ratios",51,2009-12-01,7.64,NA,NA,NA,NA
"73","AAL","Cash Flow","Cash Flow Ratios",51,2010-12-01,8.85,NA,NA,NA,NA
"74","AAL","Cash Flow","Cash Flow Ratios",51,2011-12-01,6.73,NA,NA,NA,NA
"75","AAL","Cash Flow","Cash Flow Ratios",51,2012-12-01,7.6,NA,NA,NA,NA
"76","AAL","Cash Flow","Cash Flow Ratios",51,2013-12-01,11.64,NA,NA,NA,NA
"77","AAL","Cash Flow","Cash Flow Ratios",51,2014-12-01,12.45,NA,NA,NA,NA
"78","AAL","Cash Flow","Cash Flow Ratios",51,2015-12-01,15.01,NA,NA,NA,NA
"79","AAL","Cash Flow","Cash Flow Ratios",51,2016-12-01,14.26,NA,NA,NA,NA
"80","AAL","Cash Flow","Cash Flow Ratios",51,2017-12-01,14.15,NA,NA,NA,NA
"81","AAL","Cash Flow","Cash Flow Ratios",52,2008-12-01,NA,NA,NA,-9.55,NA
"82","AAL","Cash Flow","Cash Flow Ratios",52,2009-12-01,NA,NA,NA,-2.97,NA
"83","AAL","Cash Flow","Cash Flow Ratios",52,2010-12-01,NA,NA,NA,-3.25,NA
"84","AAL","Cash Flow","Cash Flow Ratios",52,2011-12-01,NA,NA,NA,-3.9,NA
"85","AAL","Cash Flow","Cash Flow Ratios",52,2012-12-01,NA,NA,NA,-2.45,NA
"86","AAL","Cash Flow","Cash Flow Ratios",52,2013-12-01,NA,NA,NA,-9.12,NA
"87","AAL","Cash Flow","Cash Flow Ratios",52,2014-12-01,NA,NA,NA,-5.23,NA
"88","AAL","Cash Flow","Cash Flow Ratios",52,2015-12-01,NA,NA,NA,0.24,NA
"89","AAL","Cash Flow","Cash Flow Ratios",52,2016-12-01,NA,NA,NA,1.97,NA
"90","AAL","Cash Flow","Cash Flow Ratios",52,2017-12-01,NA,NA,NA,-2.91,NA
"91","AAL","Cash Flow","Cash Flow Ratios",53,2008-12-01,NA,NA,1.07,NA,NA
"92","AAL","Cash Flow","Cash Flow Ratios",53,2009-12-01,NA,NA,0.4,NA,NA
"93","AAL","Cash Flow","Cash Flow Ratios",53,2010-12-01,NA,NA,1.53,NA,NA
"94","AAL","Cash Flow","Cash Flow Ratios",53,2011-12-01,NA,NA,0.47,NA,NA
"95","AAL","Cash Flow","Cash Flow Ratios",53,2012-12-01,NA,NA,0.32,NA,NA
"96","AAL","Cash Flow","Cash Flow Ratios",53,2013-12-01,NA,NA,1.33,NA,NA
"97","AAL","Cash Flow","Cash Flow Ratios",53,2014-12-01,NA,NA,-0.77,NA,NA
"98","AAL","Cash Flow","Cash Flow Ratios",53,2015-12-01,NA,NA,0.01,NA,NA
"99","AAL","Cash Flow","Cash Flow Ratios",53,2016-12-01,NA,NA,0.3,NA,NA
"100","AAL","Cash Flow","Cash Flow Ratios",53,2017-12-01,NA,NA,-0.64,NA,NA
"101","AAP","Cash Flow","Cash Flow Ratios",49,2008-12-01,NA,NA,NA,NA,NA
"102","AAP","Cash Flow","Cash Flow Ratios",49,2009-12-01,NA,NA,NA,NA,NA
"103","AAP","Cash Flow","Cash Flow Ratios",49,2010-12-01,NA,NA,NA,NA,-479
"104","AAP","Cash Flow","Cash Flow Ratios",49,2011-12-01,NA,NA,NA,NA,NA
"105","AAP","Cash Flow","Cash Flow Ratios",49,2012-12-01,NA,NA,NA,NA,NA
"106","AAP","Cash Flow","Cash Flow Ratios",49,2013-12-01,NA,NA,NA,NA,NA
"107","AAP","Cash Flow","Cash Flow Ratios",49,2014-12-01,NA,NA,NA,NA,NA
"108","AAP","Cash Flow","Cash Flow Ratios",49,2015-12-01,NA,NA,NA,NA,-273
"109","AAP","Cash Flow","Cash Flow Ratios",49,2016-12-01,NA,NA,NA,NA,NA
"110","AAP","Cash Flow","Cash Flow Ratios",49,2017-12-01,NA,NA,NA,NA,NA
"111","AAP","Cash Flow","Cash Flow Ratios",50,2008-12-01,NA,NA,NA,NA,NA
"112","AAP","Cash Flow","Cash Flow Ratios",50,2009-12-01,NA,NA,NA,NA,NA
"113","AAP","Cash Flow","Cash Flow Ratios",50,2010-12-01,NA,-793,NA,NA,NA
"114","AAP","Cash Flow","Cash Flow Ratios",50,2011-12-01,NA,NA,NA,NA,NA
"115","AAP","Cash Flow","Cash Flow Ratios",50,2012-12-01,NA,NA,NA,NA,NA
"116","AAP","Cash Flow","Cash Flow Ratios",50,2013-12-01,NA,NA,NA,NA,NA
"117","AAP","Cash Flow","Cash Flow Ratios",50,2014-12-01,NA,NA,NA,NA,NA
"118","AAP","Cash Flow","Cash Flow Ratios",50,2015-12-01,NA,-534,NA,NA,NA
"119","AAP","Cash Flow","Cash Flow Ratios",50,2016-12-01,NA,NA,NA,NA,NA
"120","AAP","Cash Flow","Cash Flow Ratios",50,2017-12-01,NA,NA,NA,NA,NA
"121","AAP","Cash Flow","Cash Flow Ratios",51,2008-12-01,3.6,NA,NA,NA,NA
"122","AAP","Cash Flow","Cash Flow Ratios",51,2009-12-01,3.56,NA,NA,NA,NA
"123","AAP","Cash Flow","Cash Flow Ratios",51,2010-12-01,3.37,NA,NA,NA,NA
"124","AAP","Cash Flow","Cash Flow Ratios",51,2011-12-01,4.35,NA,NA,NA,NA
"125","AAP","Cash Flow","Cash Flow Ratios",51,2012-12-01,4.37,NA,NA,NA,NA
"126","AAP","Cash Flow","Cash Flow Ratios",51,2013-12-01,3.01,NA,NA,NA,NA
"127","AAP","Cash Flow","Cash Flow Ratios",51,2014-12-01,2.32,NA,NA,NA,NA
"128","AAP","Cash Flow","Cash Flow Ratios",51,2015-12-01,2.41,NA,NA,NA,NA
"129","AAP","Cash Flow","Cash Flow Ratios",51,2016-12-01,2.71,NA,NA,NA,NA
"130","AAP","Cash Flow","Cash Flow Ratios",51,2017-12-01,2.02,NA,NA,NA,NA
"131","AAP","Cash Flow","Cash Flow Ratios",52,2008-12-01,NA,NA,NA,5.71,NA
"132","AAP","Cash Flow","Cash Flow Ratios",52,2009-12-01,NA,NA,NA,9.36,NA
"133","AAP","Cash Flow","Cash Flow Ratios",52,2010-12-01,NA,NA,NA,7.87,NA
"134","AAP","Cash Flow","Cash Flow Ratios",52,2011-12-01,NA,NA,NA,9.09,NA
"135","AAP","Cash Flow","Cash Flow Ratios",52,2012-12-01,NA,NA,NA,6.67,NA
"136","AAP","Cash Flow","Cash Flow Ratios",52,2013-12-01,NA,NA,NA,5.38,NA
"137","AAP","Cash Flow","Cash Flow Ratios",52,2014-12-01,NA,NA,NA,4.88,NA
"138","AAP","Cash Flow","Cash Flow Ratios",52,2015-12-01,NA,NA,NA,4.67,NA
"139","AAP","Cash Flow","Cash Flow Ratios",52,2016-12-01,NA,NA,NA,2.52,NA
"140","AAP","Cash Flow","Cash Flow Ratios",52,2017-12-01,NA,NA,NA,4.39,NA
"141","AAP","Cash Flow","Cash Flow Ratios",53,2008-12-01,NA,NA,1.23,NA,NA
"142","AAP","Cash Flow","Cash Flow Ratios",53,2009-12-01,NA,NA,1.87,NA,NA
"143","AAP","Cash Flow","Cash Flow Ratios",53,2010-12-01,NA,NA,1.35,NA,NA
"144","AAP","Cash Flow","Cash Flow Ratios",53,2011-12-01,NA,NA,1.42,NA,NA
"145","AAP","Cash Flow","Cash Flow Ratios",53,2012-12-01,NA,NA,1.07,NA,NA
"146","AAP","Cash Flow","Cash Flow Ratios",53,2013-12-01,NA,NA,0.89,NA,NA
"147","AAP","Cash Flow","Cash Flow Ratios",53,2014-12-01,NA,NA,0.97,NA,NA
"148","AAP","Cash Flow","Cash Flow Ratios",53,2015-12-01,NA,NA,0.96,NA,NA
"149","AAP","Cash Flow","Cash Flow Ratios",53,2016-12-01,NA,NA,0.53,NA,NA
"150","AAP","Cash Flow","Cash Flow Ratios",53,2017-12-01,NA,NA,0.86,NA,NA
"151","AAPL","Cash Flow","Cash Flow Ratios",49,2008-09-01,NA,NA,NA,NA,75.43
"152","AAPL","Cash Flow","Cash Flow Ratios",49,2009-09-01,NA,NA,NA,NA,5.87
"153","AAPL","Cash Flow","Cash Flow Ratios",49,2010-09-01,NA,NA,NA,NA,83.04
"154","AAPL","Cash Flow","Cash Flow Ratios",49,2011-09-01,NA,NA,NA,NA,101.82
"155","AAPL","Cash Flow","Cash Flow Ratios",49,2012-09-01,NA,NA,NA,NA,35.51
"156","AAPL","Cash Flow","Cash Flow Ratios",49,2013-09-01,NA,NA,NA,NA,5.53
"157","AAPL","Cash Flow","Cash Flow Ratios",49,2014-09-01,NA,NA,NA,NA,11.27
"158","AAPL","Cash Flow","Cash Flow Ratios",49,2015-09-01,NA,NA,NA,NA,36.09
"159","AAPL","Cash Flow","Cash Flow Ratios",49,2016-09-01,NA,NA,NA,NA,-19
"160","AAPL","Cash Flow","Cash Flow Ratios",49,2017-09-01,NA,NA,NA,NA,-3.38
"161","AAPL","Cash Flow","Cash Flow Ratios",50,2008-09-01,NA,87.27,NA,NA,NA
"162","AAPL","Cash Flow","Cash Flow Ratios",50,2009-09-01,NA,6.54,NA,NA,NA
"163","AAPL","Cash Flow","Cash Flow Ratios",50,2010-09-01,NA,84.15,NA,NA,NA
"164","AAPL","Cash Flow","Cash Flow Ratios",50,2011-09-01,NA,82.57,NA,NA,NA
"165","AAPL","Cash Flow","Cash Flow Ratios",50,2012-09-01,NA,37.83,NA,NA,NA
"166","AAPL","Cash Flow","Cash Flow Ratios",50,2013-09-01,NA,7.57,NA,NA,NA
"167","AAPL","Cash Flow","Cash Flow Ratios",50,2014-09-01,NA,11.91,NA,NA,NA
"168","AAPL","Cash Flow","Cash Flow Ratios",50,2015-09-01,NA,39.84,NA,NA,NA
"169","AAPL","Cash Flow","Cash Flow Ratios",50,2016-09-01,NA,-25.08,NA,NA,NA
"170","AAPL","Cash Flow","Cash Flow Ratios",50,2017-09-01,NA,-2.82,NA,NA,NA
"171","AAPL","Cash Flow","Cash Flow Ratios",51,2008-09-01,3.2,NA,NA,NA,NA
"172","AAPL","Cash Flow","Cash Flow Ratios",51,2009-09-01,2.83,NA,NA,NA,NA
"173","AAPL","Cash Flow","Cash Flow Ratios",51,2010-09-01,3.25,NA,NA,NA,NA
"174","AAPL","Cash Flow","Cash Flow Ratios",51,2011-09-01,6.88,NA,NA,NA,NA
"175","AAPL","Cash Flow","Cash Flow Ratios",51,2012-09-01,6.01,NA,NA,NA,NA
"176","AAPL","Cash Flow","Cash Flow Ratios",51,2013-09-01,5.31,NA,NA,NA,NA
"177","AAPL","Cash Flow","Cash Flow Ratios",51,2014-09-01,5.37,NA,NA,NA,NA
"178","AAPL","Cash Flow","Cash Flow Ratios",51,2015-09-01,4.92,NA,NA,NA,NA
"179","AAPL","Cash Flow","Cash Flow Ratios",51,2016-09-01,6.28,NA,NA,NA,NA
"180","AAPL","Cash Flow","Cash Flow Ratios",51,2017-09-01,5.58,NA,NA,NA,NA
"181","AAPL","Cash Flow","Cash Flow Ratios",52,2008-09-01,NA,NA,NA,22.4,NA
"182","AAPL","Cash Flow","Cash Flow Ratios",52,2009-09-01,NA,NA,NA,20.85,NA
"183","AAPL","Cash Flow","Cash Flow Ratios",52,2010-09-01,NA,NA,NA,25.26,NA
"184","AAPL","Cash Flow","Cash Flow Ratios",52,2011-09-01,NA,NA,NA,27.79,NA
"185","AAPL","Cash Flow","Cash Flow Ratios",52,2012-09-01,NA,NA,NA,26.49,NA
"186","AAPL","Cash Flow","Cash Flow Ratios",52,2013-09-01,NA,NA,NA,26.09,NA
"187","AAPL","Cash Flow","Cash Flow Ratios",52,2014-09-01,NA,NA,NA,27.3,NA
"188","AAPL","Cash Flow","Cash Flow Ratios",52,2015-09-01,NA,NA,NA,29.86,NA
"189","AAPL","Cash Flow","Cash Flow Ratios",52,2016-09-01,NA,NA,NA,24.24,NA
"190","AAPL","Cash Flow","Cash Flow Ratios",52,2017-09-01,NA,NA,NA,22.16,NA
"191","AAPL","Cash Flow","Cash Flow Ratios",53,2008-09-01,NA,NA,1.37,NA,NA
"192","AAPL","Cash Flow","Cash Flow Ratios",53,2009-09-01,NA,NA,1.09,NA,NA
"193","AAPL","Cash Flow","Cash Flow Ratios",53,2010-09-01,NA,NA,1.18,NA,NA
"194","AAPL","Cash Flow","Cash Flow Ratios",53,2011-09-01,NA,NA,1.16,NA,NA
"195","AAPL","Cash Flow","Cash Flow Ratios",53,2012-09-01,NA,NA,0.99,NA,NA
"196","AAPL","Cash Flow","Cash Flow Ratios",53,2013-09-01,NA,NA,1.2,NA,NA
"197","AAPL","Cash Flow","Cash Flow Ratios",53,2014-09-01,NA,NA,1.26,NA,NA
"198","AAPL","Cash Flow","Cash Flow Ratios",53,2015-09-01,NA,NA,1.31,NA,NA
"199","AAPL","Cash Flow","Cash Flow Ratios",53,2016-09-01,NA,NA,1.14,NA,NA
"200","AAPL","Cash Flow","Cash Flow Ratios",53,2017-09-01,NA,NA,1.05,NA,NA
"201","ABBV","Cash Flow","Cash Flow Ratios",49,2008-12-01,NA,NA,NA,NA,NA
"202","ABBV","Cash Flow","Cash Flow Ratios",49,2009-12-01,NA,NA,NA,NA,NA
"203","ABBV","Cash Flow","Cash Flow Ratios",49,2010-12-01,NA,NA,NA,NA,-7.29
"204","ABBV","Cash Flow","Cash Flow Ratios",49,2011-12-01,NA,NA,NA,NA,25.54
"205","ABBV","Cash Flow","Cash Flow Ratios",49,2012-12-01,NA,NA,NA,NA,1.57
"206","ABBV","Cash Flow","Cash Flow Ratios",49,2013-12-01,NA,NA,NA,NA,-1.23
"207","ABBV","Cash Flow","Cash Flow Ratios",49,2014-12-01,NA,NA,NA,NA,-43.37
"208","ABBV","Cash Flow","Cash Flow Ratios",49,2015-12-01,NA,NA,NA,NA,112.31
"209","ABBV","Cash Flow","Cash Flow Ratios",49,2016-12-01,NA,NA,NA,NA,-6.56
"210","ABBV","Cash Flow","Cash Flow Ratios",49,2017-12-01,NA,NA,NA,NA,41.46
"211","ABBV","Cash Flow","Cash Flow Ratios",50,2008-12-01,NA,NA,NA,NA,NA
"212","ABBV","Cash Flow","Cash Flow Ratios",50,2009-12-01,NA,NA,NA,NA,NA
"213","ABBV","Cash Flow","Cash Flow Ratios",50,2010-12-01,NA,-10.42,NA,NA,NA
"214","ABBV","Cash Flow","Cash Flow Ratios",50,2011-12-01,NA,30.11,NA,NA,NA
"215","ABBV","Cash Flow","Cash Flow Ratios",50,2012-12-01,NA,2.05,NA,NA,NA
"216","ABBV","Cash Flow","Cash Flow Ratios",50,2013-12-01,NA,-3.93,NA,NA,NA
"217","ABBV","Cash Flow","Cash Flow Ratios",50,2014-12-01,NA,-49.15,NA,NA,NA
"218","ABBV","Cash Flow","Cash Flow Ratios",50,2015-12-01,NA,138.44,NA,NA,NA
"219","ABBV","Cash Flow","Cash Flow Ratios",50,2016-12-01,NA,-6.3,NA,NA,NA
"220","ABBV","Cash Flow","Cash Flow Ratios",50,2017-12-01,NA,43.72,NA,NA,NA
"221","ABBV","Cash Flow","Cash Flow Ratios",51,2008-12-01,NA,NA,NA,NA,NA
"222","ABBV","Cash Flow","Cash Flow Ratios",51,2009-12-01,2.2,NA,NA,NA,NA
"223","ABBV","Cash Flow","Cash Flow Ratios",51,2010-12-01,2.86,NA,NA,NA,NA
"224","ABBV","Cash Flow","Cash Flow Ratios",51,2011-12-01,2.04,NA,NA,NA,NA
"225","ABBV","Cash Flow","Cash Flow Ratios",51,2012-12-01,1.81,NA,NA,NA,NA
"226","ABBV","Cash Flow","Cash Flow Ratios",51,2013-12-01,2.61,NA,NA,NA,NA
"227","ABBV","Cash Flow","Cash Flow Ratios",51,2014-12-01,3.07,NA,NA,NA,NA
"228","ABBV","Cash Flow","Cash Flow Ratios",51,2015-12-01,2.33,NA,NA,NA,NA
"229","ABBV","Cash Flow","Cash Flow Ratios",51,2016-12-01,1.87,NA,NA,NA,NA
"230","ABBV","Cash Flow","Cash Flow Ratios",51,2017-12-01,1.87,NA,NA,NA,NA
"231","ABBV","Cash Flow","Cash Flow Ratios",52,2008-12-01,NA,NA,NA,NA,NA
"232","ABBV","Cash Flow","Cash Flow Ratios",52,2009-12-01,NA,NA,NA,35.56,NA
"233","ABBV","Cash Flow","Cash Flow Ratios",52,2010-12-01,NA,NA,NA,28.96,NA
"234","ABBV","Cash Flow","Cash Flow Ratios",52,2011-12-01,NA,NA,NA,33.77,NA
"235","ABBV","Cash Flow","Cash Flow Ratios",52,2012-12-01,NA,NA,NA,32.71,NA
"236","ABBV","Cash Flow","Cash Flow Ratios",52,2013-12-01,NA,NA,NA,30.74,NA
"237","ABBV","Cash Flow","Cash Flow Ratios",52,2014-12-01,NA,NA,NA,14.71,NA
"238","ABBV","Cash Flow","Cash Flow Ratios",52,2015-12-01,NA,NA,NA,30.64,NA
"239","ABBV","Cash Flow","Cash Flow Ratios",52,2016-12-01,NA,NA,NA,25.59,NA
"240","ABBV","Cash Flow","Cash Flow Ratios",52,2017-12-01,NA,NA,NA,33.42,NA
"241","ABBV","Cash Flow","Cash Flow Ratios",53,2008-12-01,NA,NA,NA,NA,NA
"242","ABBV","Cash Flow","Cash Flow Ratios",53,2009-12-01,NA,NA,1.09,NA,NA
"243","ABBV","Cash Flow","Cash Flow Ratios",53,2010-12-01,NA,NA,1.08,NA,NA
"244","ABBV","Cash Flow","Cash Flow Ratios",53,2011-12-01,NA,NA,1.72,NA,NA
"245","ABBV","Cash Flow","Cash Flow Ratios",53,2012-12-01,NA,NA,1.14,NA,NA
"246","ABBV","Cash Flow","Cash Flow Ratios",53,2013-12-01,NA,NA,1.4,NA,NA
"247","ABBV","Cash Flow","Cash Flow Ratios",53,2014-12-01,NA,NA,1.66,NA,NA
"248","ABBV","Cash Flow","Cash Flow Ratios",53,2015-12-01,NA,NA,1.36,NA,NA
"249","ABBV","Cash Flow","Cash Flow Ratios",53,2016-12-01,NA,NA,1.1,NA,NA
"250","ABBV","Cash Flow","Cash Flow Ratios",53,2017-12-01,NA,NA,1.78,NA,NA
"251","ABC","Cash Flow","Cash Flow Ratios",49,2008-09-01,NA,NA,NA,NA,-38.98
"252","ABC","Cash Flow","Cash Flow Ratios",49,2009-09-01,NA,NA,NA,NA,6.34
"253","ABC","Cash Flow","Cash Flow Ratios",49,2010-09-01,NA,NA,NA,NA,41.45
"254","ABC","Cash Flow","Cash Flow Ratios",49,2011-09-01,NA,NA,NA,NA,5.35
"255","ABC","Cash Flow","Cash Flow Ratios",49,2012-09-01,NA,NA,NA,NA,11.77
"256","ABC","Cash Flow","Cash Flow Ratios",49,2013-09-01,NA,NA,NA,NA,-39.63
"257","ABC","Cash Flow","Cash Flow Ratios",49,2014-09-01,NA,NA,NA,NA,85.65
"258","ABC","Cash Flow","Cash Flow Ratios",49,2015-09-01,NA,NA,NA,NA,167.94
"259","ABC","Cash Flow","Cash Flow Ratios",49,2016-09-01,NA,NA,NA,NA,-18.92
"260","ABC","Cash Flow","Cash Flow Ratios",49,2017-09-01,NA,NA,NA,NA,-52.68
"261","ABC","Cash Flow","Cash Flow Ratios",50,2008-09-01,NA,-44.97,NA,NA,NA
"262","ABC","Cash Flow","Cash Flow Ratios",50,2009-09-01,NA,6.36,NA,NA,NA
"263","ABC","Cash Flow","Cash Flow Ratios",50,2010-09-01,NA,44.84,NA,NA,NA
"264","ABC","Cash Flow","Cash Flow Ratios",50,2011-09-01,NA,8.23,NA,NA,NA
"265","ABC","Cash Flow","Cash Flow Ratios",50,2012-09-01,NA,14.14,NA,NA,NA
"266","ABC","Cash Flow","Cash Flow Ratios",50,2013-09-01,NA,-48.69,NA,NA,NA
"267","ABC","Cash Flow","Cash Flow Ratios",50,2014-09-01,NA,104.67,NA,NA,NA
"268","ABC","Cash Flow","Cash Flow Ratios",50,2015-09-01,NA,207.73,NA,NA,NA
"269","ABC","Cash Flow","Cash Flow Ratios",50,2016-09-01,NA,-26.43,NA,NA,NA
"270","ABC","Cash Flow","Cash Flow Ratios",50,2017-09-01,NA,-61.76,NA,NA,NA
"271","ABC","Cash Flow","Cash Flow Ratios",51,2008-09-01,0.2,NA,NA,NA,NA
"272","ABC","Cash Flow","Cash Flow Ratios",51,2009-09-01,0.2,NA,NA,NA,NA
"273","ABC","Cash Flow","Cash Flow Ratios",51,2010-09-01,0.24,NA,NA,NA,NA
"274","ABC","Cash Flow","Cash Flow Ratios",51,2011-09-01,0.21,NA,NA,NA,NA
"275","ABC","Cash Flow","Cash Flow Ratios",51,2012-09-01,0.21,NA,NA,NA,NA
"276","ABC","Cash Flow","Cash Flow Ratios",51,2013-09-01,0.23,NA,NA,NA,NA
